Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID
4182,US-2025-160304,1/2/2025,1/7/2025,Standard Class,BM-11575
4183,US-2025-160304,1/2/2025,1/7/2025,Standard Class,BM-11575
4184,US-2025-105207,1/3/2025,1/8/2025,Standard Class,BO-11350
4185,US-2025-105207,1/3/2025,1/8/2025,Standard Class,BO-11350
4186,US-2025-125206,1/3/2025,1/5/2025,First Class,LR-16915
4187,US-2025-116365,1/3/2025,1/8/2025,Standard Class,CA-12310
4188,US-2025-116365,1/3/2025,1/8/2025,Standard Class,CA-12310
4189,US-2025-116365,1/3/2025,1/8/2025,Standard Class,CA-12310
4190,US-2025-158211,1/4/2025,1/8/2025,Standard Class,BP-11185
4191,US-2025-158211,1/4/2025,1/8/2025,Standard Class,BP-11185
4192,US-2025-164630,1/4/2025,1/9/2025,Standard Class,EB-13975
4193,US-2025-134474,1/5/2025,1/7/2025,Second Class,AJ-10795
4194,US-2025-134474,1/5/2025,1/7/2025,Second Class,AJ-10795
4195,US-2025-134474,1/5/2025,1/7/2025,Second Class,AJ-10795
4196,US-2025-158806,1/7/2025,1/11/2025,Standard Class,NM-18520
4197,US-2025-101938,1/7/2025,1/12/2025,Standard Class,DW-13480
