Product ID,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin
20847,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54
20228,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6
21776,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45
24844,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43
24846,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56
24847,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56
24848,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36
18181,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38
20925,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4
26267,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39
26268,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55
23890,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49
24063,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39
5890,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49
6062,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37
6063,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39
20631,Office Supplies,Paper,Small Box,Xerox 194,0.37
20632,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59
23967,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49
23509,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59
23612,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4
23278,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59
19355,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56
